Tabel Asal,Kolom Asal (Yang Mengikat),Tabel Target,Kolom Target (Yang Diikat)
anggota_keluarga,rt_id,master_rt,id
anggota_keluarga,warga_id,warga,id
audit_log,rt_id,master_rt,id
jadwal_ronda,rt_id,master_rt,id
jadwal_ronda,warga_id,warga,id
kandidat_rt,pemilihan_id,pemilihan_rt,id
kas_rt,rt_id,master_rt,id
kas_rt,warga_id,warga,id
lapak_warga,rt_id,master_rt,id
lapak_warga,warga_id,warga,id
laporan_warga,rt_id,master_rt,id
laporan_warga,warga_id,warga,id
limbah_ekonomis,teknisi_id,lapak_warga,id
limbah_ekonomis,warga_id,warga,id
master_inventaris,rt_id,master_rt,id
partisipasi_pemilihan,pemilihan_id,pemilihan_rt,id
partisipasi_pemilihan,warga_id,warga,id
peminjaman_inventaris,rt_id,master_rt,id
peminjaman_inventaris,warga_id,warga,id
pengumuman_rt,rt_id,master_rt,id
pengurus_rt,rt_id,master_rt,id
sensus_kesejahteraan,warga_id,warga,id
suara_pemilihan,kandidat_id,kandidat_rt,id
suara_pemilihan,pemilihan_id,pemilihan_rt,id
suara_voting,rt_id,master_rt,id
suara_voting,voting_id,voting_rt,id
suara_voting,warga_id,warga,id
tabungan_kurban,rt_id,master_rt,id
tabungan_kurban,warga_id,warga,id
transaksi_kurban,warga_id,warga,id
transaksi_sampah,rt_id,master_rt,id
transaksi_sampah,warga_id,warga,id
voting_rt,rt_id,master_rt,id
warga,rt_id,master_rt,id
